规则id,区域id,目标类别,目标id,产出类型,加成值,所需数量,前置科技,前置市政,废弃科技,废弃市政,原始标识,备注,数据来源,待核
DISTRICT_ACROPOLIS@District_Culture_City_Center,DISTRICT_ACROPOLIS,区域,DISTRICT_CITY_CENTER,文化,1,1,无,无,无,无,District_Culture_City_Center,+{1_num} 文化值来自相邻市中心。,一手,否
DISTRICT_ACROPOLIS@District_Culture_Standard,DISTRICT_ACROPOLIS,任意其他区域,无,文化,1,1,无,无,无,无,District_Culture_Standard,+{1_num} 文化值来自相邻{1_Num : plural 1?区域; other?区域;}。,一手,否
DISTRICT_ACROPOLIS@EntertainmentComplex_Culture,DISTRICT_ACROPOLIS,区域,DISTRICT_ENTERTAINMENT_COMPLEX,文化,2,1,无,无,无,无,EntertainmentComplex_Culture,相邻娱乐设施区域提供+{1_num} 文化值。,一手,否
DISTRICT_ACROPOLIS@Government_Culture,DISTRICT_ACROPOLIS,区域,DISTRICT_GOVERNMENT,文化,1,1,无,无,无,无,Government_Culture,+{1_num} 文化值来自相邻市政广场。,一手,否
DISTRICT_ACROPOLIS@Pamukkale_Culture,DISTRICT_ACROPOLIS,地貌,FEATURE_PAMUKKALE,文化,2,1,无,无,无,无,Pamukkale_Culture,+{1_num} 文化值来自相邻自然奇观棉花堡。,一手,否
DISTRICT_ACROPOLIS@WaterPark_Culture,DISTRICT_ACROPOLIS,区域,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,文化,2,1,无,无,无,无,WaterPark_Culture,相邻水上乐园区域提供+{1_num} 文化值。,一手,否
DISTRICT_ACROPOLIS@Wonder_Culture,DISTRICT_ACROPOLIS,世界奇观,无,文化,2,1,无,无,无,无,Wonder_Culture,+{1_num} 文化值来自相邻{1_Num : plural 1?奇观; other?奇观;}。,一手,否
DISTRICT_CAMPUS@District_Science,DISTRICT_CAMPUS,任意其他区域,无,科技,1,2,无,无,无,无,District_Science,+{1_num} 科技值来自相邻{1_Num : plural 1?区域; other?区域;}。,一手,否
DISTRICT_CAMPUS@GBR_Science,DISTRICT_CAMPUS,地貌,FEATURE_BARRIER_REEF,科技,2,1,无,无,无,无,GBR_Science,+{1_num} 科技值，来自相邻自然奇观大堡礁。,一手,否
DISTRICT_CAMPUS@Geothermal_Science,DISTRICT_CAMPUS,地貌,FEATURE_GEOTHERMAL_FISSURE,科技,2,1,无,无,无,无,Geothermal_Science,+{1_num} 科技值来自每个相邻的地热裂缝。,一手,否
DISTRICT_CAMPUS@Government_Science,DISTRICT_CAMPUS,区域,DISTRICT_GOVERNMENT,科技,1,1,无,无,无,无,Government_Science,+{1_num} 科技值来自相邻市政广场。,一手,否
DISTRICT_CAMPUS@Jungle_Science,DISTRICT_CAMPUS,地貌,FEATURE_JUNGLE,科技,1,2,无,无,无,无,Jungle_Science,+{1_num} 科技值来自相邻雨林单元格。,一手,否
DISTRICT_CAMPUS@Mountains_Science1,DISTRICT_CAMPUS,地形,TERRAIN_GRASS_MOUNTAIN,科技,1,1,无,无,无,无,Mountains_Science1,+{1_num} 科技值来自相邻山脉{1_Num : plural 1?单元格; other?单元格;}。,一手,否
DISTRICT_CAMPUS@Mountains_Science2,DISTRICT_CAMPUS,地形,TERRAIN_PLAINS_MOUNTAIN,科技,1,1,无,无,无,无,Mountains_Science2,+{1_num} 科技值来自相邻山脉{1_Num : plural 1?单元格; other?单元格;}。,一手,否
DISTRICT_CAMPUS@Mountains_Science3,DISTRICT_CAMPUS,地形,TERRAIN_DESERT_MOUNTAIN,科技,1,1,无,无,无,无,Mountains_Science3,+{1_num} 科技值来自相邻山脉{1_Num : plural 1?单元格; other?单元格;}。,一手,否
DISTRICT_CAMPUS@Mountains_Science4,DISTRICT_CAMPUS,地形,TERRAIN_TUNDRA_MOUNTAIN,科技,1,1,无,无,无,无,Mountains_Science4,+{1_num} 科技值来自相邻山脉{1_Num : plural 1?单元格; other?单元格;}。,一手,否
DISTRICT_CAMPUS@Mountains_Science5,DISTRICT_CAMPUS,地形,TERRAIN_SNOW_MOUNTAIN,科技,1,1,无,无,无,无,Mountains_Science5,+{1_num} 科技值来自相邻山脉{1_Num : plural 1?单元格; other?单元格;}。,一手,否
