区域id,名称,区域类别,基础产出,生产成本,前置科技,前置市政,是否占区域配额,可建地形,是否特色区域,替换区域id,所属文明id,备注,数据来源,待核
DISTRICT_ACROPOLIS,卫城,专业化,无,27,无,CIVIC_DRAMA_POETRY,是,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA_HILLS,是,DISTRICT_THEATER,CIVILIZATION_GREECE,无,一手,否
DISTRICT_AERODROME,航空港,专业化,无,54,TECH_FLIGHT,无,是,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,否,无,无,无,一手,否
DISTRICT_AQUEDUCT,水渠,非专业化,无,36,TECH_ENGINEERING,无,否,无,否,无,无,引水渠类,一手,否
DISTRICT_BATH,浴场,非专业化,无,18,TECH_ENGINEERING,无,否,无,是,DISTRICT_AQUEDUCT,CIVILIZATION_ROME,引水渠类,一手,否
DISTRICT_CAMPUS,学院,专业化,无,54,TECH_WRITING,无,是,无,否,无,无,无,一手,否
DISTRICT_CANAL,运河,非专业化,无,81,TECH_STEAM_POWER,无,否,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,否,无,无,无,一手,否
DISTRICT_CITY_CENTER,市中心,城市中心,无,54,无,无,否,无,否,无,无,无,一手,否
DISTRICT_COMMERCIAL_HUB,商业中心,专业化,无,54,TECH_CURRENCY,无,是,无,否,无,无,无,一手,否
DISTRICT_COTHON,U型港,专业化,无,27,TECH_CELESTIAL_NAVIGATION,无,是,TERRAIN_COAST,是,DISTRICT_HARBOR,CIVILIZATION_PHOENICIA,须临海（Coast=true）,一手,否
DISTRICT_DAM,堤坝,非专业化,无,81,TECH_BUTTRESS,无,否,无,否,无,无,无,一手,否
DISTRICT_DIPLOMATIC_QUARTER,外交区,专业化,无,30,TECH_MATHEMATICS,无,是,无,否,无,无,无,一手,否
DISTRICT_ENCAMPMENT,军营,专业化,无,54,TECH_BRONZE_WORKING,无,是,无,否,无,无,无,一手,否
DISTRICT_ENTERTAINMENT_COMPLEX,娱乐中心,专业化,无,54,无,CIVIC_GAMES_RECREATION,是,无,否,无,无,无,一手,否
DISTRICT_GOVERNMENT,市政广场,专业化,无,30,无,CIVIC_STATE_WORKFORCE,是,无,否,无,无,无,一手,否
DISTRICT_HANSA,商业同业工会,专业化,无,27,TECH_APPRENTICESHIP,无,是,无,是,DISTRICT_INDUSTRIAL_ZONE,CIVILIZATION_GERMANY,无,一手,否
DISTRICT_HARBOR,港口,专业化,无,54,TECH_CELESTIAL_NAVIGATION,无,是,TERRAIN_COAST,否,无,无,须临海（Coast=true）,一手,否
