traitid,所属文明id,所属领袖id,被排除规则标识,备注,数据来源,待核
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,CIVILIZATION_JAPAN,无,District_Culture,无,一手,否
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,CIVILIZATION_JAPAN,无,District_Faith,无,一手,否
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,CIVILIZATION_JAPAN,无,District_Gold,无,一手,否
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,CIVILIZATION_JAPAN,无,District_Production,无,一手,否
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,CIVILIZATION_JAPAN,无,District_Science,无,一手,否
TRAIT_CIVILIZATION_AMAZON,CIVILIZATION_BRAZIL,无,Jungle_Science,无,一手,否
TRAIT_CIVILIZATION_GAUL,CIVILIZATION_GAUL,无,District_Culture,无,一手,否
TRAIT_CIVILIZATION_GAUL,CIVILIZATION_GAUL,无,District_Faith,无,一手,否
TRAIT_CIVILIZATION_GAUL,CIVILIZATION_GAUL,无,District_Gold,无,一手,否
TRAIT_CIVILIZATION_GAUL,CIVILIZATION_GAUL,无,District_Production,无,一手,否
TRAIT_CIVILIZATION_GAUL,CIVILIZATION_GAUL,无,District_Science,无,一手,否
TRAIT_LEADER_LITHUANIAN_UNION,无,LEADER_JADWIGA,District_Faith,无,一手,否
