改良设施id,名称,基础产出,可建地形,前置科技,前置市政,备注,数据来源,待核
IMPROVEMENT_AIRSTRIP,飞机跑道,无,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,TECH_FLIGHT,无,无,一手,否
IMPROVEMENT_ALCAZAR,阿卡萨城堡,文化:2,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_BARBARIAN_CAMP,蛮族哨站,无,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_BATEY,巴特依,文化:1,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,无,无,无,一手,否
IMPROVEMENT_BEACH_RESORT,海滨度假区,无,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS,TECH_RADIO,无,无,一手,否
IMPROVEMENT_CAMP,营地,生产力:0|粮食:0|金币:2,无,TECH_ANIMAL_HUSBANDRY,无,无,一手,否
IMPROVEMENT_CHATEAU,城堡,文化:2|金币:1,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_HUMANISM,无,一手,否
IMPROVEMENT_CHEMAMULL,马普切木人,生产力:1,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_CRAFTSMANSHIP,无,一手,否
IMPROVEMENT_CITY_PARK,市立公园,文化:1,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_GAMES_RECREATION,无,一手,否
IMPROVEMENT_COLOSSAL_HEAD,巨神头像,信仰:2|文化:0,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_FARM,农场,生产力:0|粮食:1,TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS,无,无,无,一手,否
IMPROVEMENT_FEITORIA,商站,生产力:1|金币:4,TERRAIN_COAST,无,无,无,一手,否
IMPROVEMENT_FISHERY,渔场,生产力:0|粮食:1,TERRAIN_COAST,TECH_SAILING,无,无,一手,否
IMPROVEMENT_FISHING_BOATS,渔船,生产力:0|粮食:1|金币:0,无,TECH_SAILING,无,无,一手,否
IMPROVEMENT_FORT,堡垒,无,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,TECH_SIEGE_TACTICS,无,无,一手,否
IMPROVEMENT_GEOTHERMAL_PLANT,地热发电厂,生产力:2|科技:1,无,TECH_SYNTHETIC_MATERIALS,无,无,一手,否
IMPROVEMENT_GOLF_COURSE,高尔夫球场,文化:0|金币:2,TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_REFORMED_CHURCH,无,一手,否
IMPROVEMENT_GOODY_HUT,部落村庄,无,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_GREAT_WALL,长城,文化:0|金币:2,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,TECH_MASONRY,无,无,一手,否
IMPROVEMENT_HACIENDA,大庄园,生产力:1|粮食:0|金币:2,TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS,无,CIVIC_MERCANTILISM,无,一手,否
IMPROVEMENT_ICE_HOCKEY_RINK,冰球场,文化:0|生产力:0|粮食:0,TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,CIVIC_COLONIALISM,无,一手,否
IMPROVEMENT_KAMPUNG,甘榜屋,生产力:1|粮食:0,TERRAIN_COAST,TECH_SHIPBUILDING,无,无,一手,否
IMPROVEMENT_KURGAN,坟墩,信仰:1|金币:3,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,TECH_ANIMAL_HUSBANDRY,无,无,一手,否
IMPROVEMENT_LUMBER_MILL,伐木场,生产力:2,无,TECH_CONSTRUCTION,无,无,一手,否
IMPROVEMENT_MAHAVIHARA,大寺,信仰:0|科技:2,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,无,无,无,一手,否
IMPROVEMENT_MAORI_PA,帕堡,无,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_MEKEWAP,棚屋,生产力:1|粮食:0|金币:0,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,TECH_POTTERY,无,无,一手,否
IMPROVEMENT_METEOR_GOODY,流星坑,无,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
IMPROVEMENT_MINE,矿山,生产力:1|科技:0,TERRAIN_DESERT_HILLS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA_HILLS,TECH_MINING,无,无,一手,否
IMPROVEMENT_MISSILE_SILO,导弹发射井,无,TERRAIN_DESERT|TERRAIN_GRASS|TERRAIN_PLAINS|TERRAIN_SNOW|TERRAIN_TUNDRA,TECH_ROCKETRY,无,无,一手,否
IMPROVEMENT_MISSION,传教团,信仰:2|生产力:0|科技:0|粮食:0,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,TECH_EDUCATION,无,无,一手,否
IMPROVEMENT_MOAI,摩艾石像,文化:1,TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS,无,无,无,一手,否
IMPROVEMENT_MONASTERY,修道院,信仰:2,TERRAIN_DESERT|TERRAIN_DESERT_HILLS|TERRAIN_GRASS|TERRAIN_GRASS_HILLS|TERRAIN_PLAINS|TERRAIN_PLAINS_HILLS|TERRAIN_SNOW|TERRAIN_SNOW_HILLS|TERRAIN_TUNDRA|TERRAIN_TUNDRA_HILLS,无,无,无,一手,否
