资源id,名称,资源类别,是否海洋资源,基础产出,备注,数据来源,待核
RESOURCE_ALUMINUM,铝,战略,否,科技:1,无,一手,否
RESOURCE_AMBER,琥珀,奢侈,是,文化:1,无,一手,否
RESOURCE_ANTIQUITY_SITE,历史古迹,文物,否,无,无,一手,否
RESOURCE_BANANAS,香蕉,加成,否,粮食:1,无,一手,否
RESOURCE_CATTLE,牛,加成,否,粮食:1,无,一手,否
RESOURCE_CINNAMON,肉桂,奢侈,否,无,无,一手,否
RESOURCE_CITRUS,柑橘,奢侈,否,粮食:2,无,一手,否
RESOURCE_CLOVES,丁香,奢侈,否,无,无,一手,否
RESOURCE_COAL,煤,战略,否,生产力:2,无,一手,否
RESOURCE_COCOA,可可豆,奢侈,否,金币:3,无,一手,否
RESOURCE_COFFEE,咖啡,奢侈,否,文化:1,无,一手,否
RESOURCE_COPPER,铜,加成,否,金币:2,无,一手,否
RESOURCE_COSMETICS,化妆品,奢侈,否,无,无,一手,否
RESOURCE_COTTON,棉花,奢侈,否,金币:3,无,一手,否
RESOURCE_CRABS,螃蟹,加成,是,金币:2,无,一手,否
RESOURCE_DEER,鹿,加成,否,生产力:1,无,一手,否
RESOURCE_DIAMONDS,钻石,奢侈,否,金币:3,无,一手,否
RESOURCE_DYES,染料,奢侈,否,信仰:1,无,一手,否
RESOURCE_FISH,鱼,加成,是,粮食:1,无,一手,否
RESOURCE_FURS,皮草,奢侈,否,粮食:1|金币:1,无,一手,否
RESOURCE_GYPSUM,石膏,奢侈,否,生产力:1|金币:1,无,一手,否
RESOURCE_HONEY,蜂蜜,奢侈,否,粮食:2,无,一手,否
RESOURCE_HORSES,马,战略,否,生产力:1|粮食:1,无,一手,否
RESOURCE_INCENSE,熏香,奢侈,否,信仰:1,无,一手,否
RESOURCE_IRON,铁,战略,否,科技:1,无,一手,否
RESOURCE_IVORY,象牙,奢侈,否,生产力:1|金币:1,无,一手,否
RESOURCE_JADE,玉,奢侈,否,文化:1,无,一手,否
RESOURCE_JEANS,牛仔裤,奢侈,否,无,无,一手,否
RESOURCE_MAIZE,玉米,加成,否,金币:2,无,一手,否
RESOURCE_MARBLE,大理石,奢侈,否,文化:1,无,一手,否
RESOURCE_MERCURY,水银,奢侈,否,科技:1,无,一手,否
RESOURCE_NITER,硝石,战略,否,生产力:1|粮食:1,无,一手,否
RESOURCE_OIL,石油,战略,是,生产力:3,无,一手,否
RESOURCE_OLIVES,橄榄,奢侈,否,生产力:1|金币:1,无,一手,否
RESOURCE_PEARLS,珍珠,奢侈,是,信仰:1,无,一手,否
RESOURCE_PERFUME,香水,奢侈,否,无,无,一手,否
RESOURCE_RICE,大米,加成,否,粮食:1,无,一手,否
RESOURCE_SALT,盐,奢侈,否,粮食:1|金币:1,无,一手,否
RESOURCE_SHEEP,羊,加成,否,粮食:1,无,一手,否
RESOURCE_SHIPWRECK,海难遗址,文物,否,无,无,一手,否
RESOURCE_SILK,丝绸,奢侈,否,文化:1,无,一手,否
RESOURCE_SILVER,银,奢侈,否,金币:3,无,一手,否
RESOURCE_SPICES,香料,奢侈,否,粮食:2,无,一手,否
RESOURCE_STONE,石头,加成,否,生产力:1,无,一手,否
RESOURCE_SUGAR,糖,奢侈,否,粮食:2,无,一手,否
RESOURCE_TEA,茶叶,奢侈,否,科技:1,无,一手,否
RESOURCE_TOBACCO,烟草,奢侈,否,信仰:1,无,一手,否
RESOURCE_TOYS,玩具,奢侈,否,无,无,一手,否
RESOURCE_TRUFFLES,松露,奢侈,否,金币:3,无,一手,否
RESOURCE_TURTLES,海龟,奢侈,是,科技:1,无,一手,否
RESOURCE_URANIUM,铀,战略,否,生产力:2,无,一手,否
RESOURCE_WHALES,鲸鱼,奢侈,是,生产力:1|金币:1,无,一手,否
RESOURCE_WHEAT,小麦,加成,否,粮食:1,无,一手,否
RESOURCE_WINE,葡萄酒,奢侈,否,粮食:1|金币:1,无,一手,否
