科技id,名称,时代,备注,数据来源,待核
TECH_ADVANCED_AI,高级人工智能,ERA_FUTURE,无,一手,否
TECH_ADVANCED_BALLISTICS,高级弹道学,ERA_ATOMIC,无,一手,否
TECH_ADVANCED_FLIGHT,现代航空,ERA_ATOMIC,无,一手,否
TECH_ADVANCED_POWER_CELLS,高级能量电池,ERA_FUTURE,无,一手,否
TECH_ANIMAL_HUSBANDRY,畜牧业,ERA_ANCIENT,无,一手,否
TECH_APPRENTICESHIP,学徒,ERA_MEDIEVAL,无,一手,否
TECH_ARCHERY,箭术,ERA_ANCIENT,无,一手,否
TECH_ASTROLOGY,占星术,ERA_ANCIENT,无,一手,否
TECH_ASTRONOMY,天文学,ERA_RENAISSANCE,无,一手,否
TECH_BALLISTICS,弹道学,ERA_INDUSTRIAL,无,一手,否
TECH_BANKING,银行业,ERA_RENAISSANCE,无,一手,否
TECH_BRONZE_WORKING,铸铜术,ERA_ANCIENT,无,一手,否
TECH_BUTTRESS,扶壁,ERA_MEDIEVAL,无,一手,否
TECH_CARTOGRAPHY,制图学,ERA_RENAISSANCE,无,一手,否
TECH_CASTLES,城堡,ERA_MEDIEVAL,无,一手,否
TECH_CELESTIAL_NAVIGATION,天文导航,ERA_CLASSICAL,无,一手,否
TECH_CHEMISTRY,化学,ERA_MODERN,无,一手,否
TECH_COMBINED_ARMS,联合作战,ERA_ATOMIC,无,一手,否
TECH_COMBUSTION,内燃机,ERA_MODERN,无,一手,否
TECH_COMPOSITES,复合材料,ERA_INFORMATION,无,一手,否
TECH_COMPUTERS,电脑,ERA_ATOMIC,无,一手,否
TECH_CONSTRUCTION,建造,ERA_CLASSICAL,无,一手,否
TECH_CURRENCY,货币,ERA_CLASSICAL,无,一手,否
TECH_CYBERNETICS,控制论,ERA_FUTURE,无,一手,否
TECH_ECONOMICS,经济,ERA_INDUSTRIAL,无,一手,否
TECH_EDUCATION,教育,ERA_MEDIEVAL,无,一手,否
TECH_ELECTRICITY,电力,ERA_MODERN,无,一手,否
TECH_ENGINEERING,工程,ERA_CLASSICAL,无,一手,否
TECH_FLIGHT,飞行,ERA_MODERN,无,一手,否
TECH_FUTURE_TECH,未来科技,ERA_FUTURE,无,一手,否
TECH_GUIDANCE_SYSTEMS,制导系统,ERA_INFORMATION,无,一手,否
TECH_GUNPOWDER,火药,ERA_RENAISSANCE,无,一手,否
TECH_HORSEBACK_RIDING,骑马,ERA_CLASSICAL,无,一手,否
TECH_INDUSTRIALIZATION,工业化,ERA_INDUSTRIAL,无,一手,否
TECH_IRON_WORKING,炼铁术,ERA_CLASSICAL,无,一手,否
TECH_IRRIGATION,灌溉,ERA_ANCIENT,无,一手,否
TECH_LASERS,激光,ERA_INFORMATION,无,一手,否
TECH_MACHINERY,机械,ERA_MEDIEVAL,无,一手,否
TECH_MASONRY,砌砖,ERA_ANCIENT,无,一手,否
TECH_MASS_PRODUCTION,批量生产,ERA_RENAISSANCE,无,一手,否
TECH_MATHEMATICS,数学,ERA_CLASSICAL,无,一手,否
TECH_METAL_CASTING,金属铸造,ERA_RENAISSANCE,无,一手,否
TECH_MILITARY_ENGINEERING,军事工程学,ERA_MEDIEVAL,无,一手,否
TECH_MILITARY_SCIENCE,军事学,ERA_INDUSTRIAL,无,一手,否
TECH_MILITARY_TACTICS,战术,ERA_MEDIEVAL,无,一手,否
TECH_MINING,采矿业,ERA_ANCIENT,无,一手,否
TECH_NANOTECHNOLOGY,纳米技术,ERA_INFORMATION,无,一手,否
TECH_NUCLEAR_FISSION,核裂变,ERA_ATOMIC,无,一手,否
TECH_NUCLEAR_FUSION,核聚变,ERA_INFORMATION,无,一手,否
TECH_OFFWORLD_MISSION,外星任务,ERA_FUTURE,无,一手,否
TECH_PLASTICS,塑料,ERA_ATOMIC,无,一手,否
TECH_POTTERY,制陶术,ERA_ANCIENT,无,一手,否
TECH_PREDICTIVE_SYSTEMS,预报系统,ERA_FUTURE,无,一手,否
TECH_PRINTING,印刷术,ERA_RENAISSANCE,无,一手,否
TECH_RADIO,无线电,ERA_MODERN,无,一手,否
TECH_REFINING,精炼,ERA_MODERN,无,一手,否
TECH_REPLACEABLE_PARTS,零件规格化,ERA_MODERN,无,一手,否
TECH_RIFLING,膛线,ERA_INDUSTRIAL,无,一手,否
TECH_ROBOTICS,机器人技术,ERA_INFORMATION,无,一手,否
TECH_ROCKETRY,火箭研究,ERA_ATOMIC,无,一手,否
TECH_SAILING,航海术,ERA_ANCIENT,无,一手,否
TECH_SANITATION,卫生设备,ERA_INDUSTRIAL,无,一手,否
TECH_SATELLITES,卫星,ERA_INFORMATION,无,一手,否
TECH_SCIENTIFIC_THEORY,科学理论,ERA_INDUSTRIAL,无,一手,否
TECH_SEASTEADS,海洋家园,ERA_FUTURE,无,一手,否
TECH_SHIPBUILDING,造船术,ERA_CLASSICAL,无,一手,否
TECH_SIEGE_TACTICS,攻城术,ERA_RENAISSANCE,无,一手,否
TECH_SMART_MATERIALS,智能材料,ERA_FUTURE,无,一手,否
TECH_SQUARE_RIGGING,横帆装置,ERA_RENAISSANCE,无,一手,否
TECH_STEALTH_TECHNOLOGY,隐形技术,ERA_INFORMATION,无,一手,否
TECH_STEAM_POWER,蒸汽动力,ERA_INDUSTRIAL,无,一手,否
TECH_STEEL,钢铁,ERA_MODERN,无,一手,否
TECH_STIRRUPS,马镫,ERA_MEDIEVAL,无,一手,否
TECH_SYNTHETIC_MATERIALS,合成材料,ERA_ATOMIC,无,一手,否
TECH_TELECOMMUNICATIONS,远程通信,ERA_INFORMATION,无,一手,否
TECH_THE_WHEEL,轮子,ERA_ANCIENT,无,一手,否
TECH_WRITING,写作,ERA_ANCIENT,无,一手,否
