地形id,名称,基础产出,是否可建区域,备注,数据来源,待核
TERRAIN_COAST,海岸与湖泊,粮食:1|金币:1,是,水域,一手,否
TERRAIN_DESERT,沙漠,无,是,无,一手,否
TERRAIN_DESERT_HILLS,沙漠（丘陵）,生产力:1,是,丘陵,一手,否
TERRAIN_DESERT_MOUNTAIN,沙漠（山脉）,无,否,山脉变体,一手,否
TERRAIN_GRASS,草原,粮食:2,是,无,一手,否
TERRAIN_GRASS_HILLS,草原（丘陵）,生产力:1|粮食:2,是,丘陵,一手,否
TERRAIN_GRASS_MOUNTAIN,草原（山脉）,无,否,山脉变体,一手,否
TERRAIN_OCEAN,海洋,粮食:1,否,水域,一手,否
TERRAIN_PLAINS,平原,生产力:1|粮食:1,是,无,一手,否
TERRAIN_PLAINS_HILLS,平原（丘陵）,生产力:2|粮食:1,是,丘陵,一手,否
TERRAIN_PLAINS_MOUNTAIN,平原（山脉）,无,否,山脉变体,一手,否
TERRAIN_SNOW,雪地,无,是,无,一手,否
TERRAIN_SNOW_HILLS,雪地（丘陵）,生产力:1,是,丘陵,一手,否
TERRAIN_SNOW_MOUNTAIN,雪地（山脉）,无,否,山脉变体,一手,否
TERRAIN_TUNDRA,冻土,粮食:1,是,无,一手,否
TERRAIN_TUNDRA_HILLS,冻土（丘陵）,生产力:1|粮食:1,是,丘陵,一手,否
TERRAIN_TUNDRA_MOUNTAIN,冻土（山脉）,无,否,山脉变体,一手,否
